timestamp,quaternion_w,quaternion_x,quaternion_y,quaternion_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orientation_pitch,orientation_roll,orientation_yaw,commands_rollCmd,commands_pitchCmd,commands_yawCmd
1743179190.8505952,0.976,-0.1282,-0.12,-0.1289,0.312,-0.215,0.983,2.341,2.896,-1.431,-15.51,-13.16,346.75,0.539,0.655,0.498
1743179191.849524,0.988,0.0342,-0.1075,-0.1052,0.18,-0.004,0.691,-10.812,35.667,16.301,-11.84,5.29,347.29,-0.116,0.588,0.429
1743179192.8502636,0.9812,0.1386,-0.129,0.0362,-0.021,0.245,0.846,11.766,-10.955,1.779,-15.26,15.8,2.1,-0.57,0.694,-0.122
1743179193.8497183,0.9883,0.0901,0.0466,0.1142,-0.095,0.278,0.777,-13.456,24.666,-16.887,4.1,10.91,13.57,-0.377,0.0,-0.442
1743179194.849715,0.9961,0.0704,0.0105,0.053,0.086,0.177,1.19,-9.156,24.038,-29.381,0.78,8.13,6.15,-0.287,0.119,-0.2
1743179195.850036,0.9955,0.0688,0.0276,-0.0584,-0.064,0.187,1.043,2.683,-0.099,-13.955,3.62,7.7,353.53,-0.266,0.0,0.246
1743179196.8496435,0.9928,-0.0476,0.0395,0.1022,-0.117,-0.153,0.865,136.683,-4.935,-19.888,5.05,-4.98,11.53,0.126,0.0,-0.417
1743179197.8496726,0.9895,0.0106,-0.1113,0.0911,0.237,0.037,0.91,-3.788,-39.177,-1.937,-12.84,0.04,10.51,0.0,0.642,-0.364
1743179198.8502536,0.9502,0.027,-0.3088,0.0323,0.659,0.009,0.919,-5.631,-18.639,-4.233,-36.05,2.23,3.17,-0.115,1.0,-0.127
1743179199.8499851,0.9836,0.0279,0.178,-0.0092,-0.344,0.069,0.724,5.151,46.709,-6.027,20.52,3.15,359.49,-0.112,-0.566,0.0
1743179200.8499029,0.9893,-0.0277,0.0668,-0.1264,-0.156,0.05,0.869,5.911,-11.631,-21.586,7.19,-4.14,345.18,0.131,-0.088,0.502
1743179201.8496494,0.9879,0.037,-0.0193,-0.1494,-0.011,-0.001,1.119,10.594,0.225,-13.019,-1.55,4.53,342.74,-0.125,0.251,0.606
1743179202.8495476,0.9773,0.0333,0.1554,0.1402,-0.344,0.313,0.91,31.742,22.959,25.353,17.12,6.53,17.31,-0.172,-0.467,-0.557
1743179203.8502226,0.8393,-0.035,0.5296,0.1178,0.144,-0.007,1.014,-19.248,-16.066,15.636,63.79,8.61,21.35,0.126,-1.0,-0.5
1743179204.850058,0.9614,0.029,-0.2445,0.1228,0.028,-0.003,0.45,-28.799,-25.696,5.413,-28.51,-0.28,14.63,-0.132,1.0,-0.494
1743179205.8496294,0.978,0.1508,0.0334,0.1403,0.079,-0.004,0.572,-43.12,-125.508,7.206,1.32,17.72,16.53,-0.621,0.0,-0.538
1743179206.8499055,0.8968,-0.0867,-0.4271,0.0763,0.093,-0.013,0.539,5.903,-10.098,5.027,-48.83,-19.59,18.69,0.345,1.0,-0.334
1743179207.8499231,0.8968,-0.0867,-0.4271,0.0763,0.093,-0.013,0.539,5.903,-10.098,5.027,-48.83,-19.59,18.69,0.345,1.0,-0.334
1743179208.850349,0.8968,-0.0867,-0.4271,0.0763,0.093,-0.013,0.539,5.903,-10.098,5.027,-48.83,-19.59,18.69,0.345,1.0,-0.334
1743179209.8505836,0.8968,-0.0867,-0.4271,0.0763,0.093,-0.013,0.539,5.903,-10.098,5.027,-48.83,-19.59,18.69,0.345,1.0,-0.334
